Country,total_cases1m_pop,deaths1m_pop,test1m_pop,death_rate
Afghanistan,691.0795653373375,13.0,1551.0,1.8811148024112527
Albania,598.3517182284619,13.0,6694.0,2.1726351916376307
Andorra,11053.442228291116,673.0,48537.0,6.088601053864169
Angola,4.723712926129571,0.2,305.0,4.233957548387098
Antigua and Barbuda,265.58525797521884,31.0,4995.0,11.672334615384617
Argentina,756.0788382234098,20.0,5547.0,2.645226792353406
Armenia,6085.975156612697,102.0,29564.0,1.6759844950923308
Aruba,946.1446945638835,28.0,20918.0,2.959378217821782
Australia,289.1596404862888,4.0,73671.0,1.3833189145183176
Austria,1910.5040518944563,76.0,60039.0,3.978007789339069
Azerbaijan,1084.4039409119728,13.0,39209.0,1.1988152670366663
Bahamas,264.56843545929337,28.0,5752.0,10.583273076923076
Bahrain,11512.73566575207,29.0,257940.0,0.2518949521812509
Bangladesh,598.2701791871093,8.0,3349.0,1.3371884941465546
Barbados,337.5533299462003,24.0,24220.0,7.10998762886598
Belarus,5929.66857690494,34.0,82432.0,0.5733878640776698
Belgium,5198.948853386,835.0,91137.0,16.060938923378263
Belize,55.37321547228319,5.0,4926.0,9.029636363636364
Benin,47.24313589033778,0.7,3851.0,1.4816967307692306
Bermuda,2311.9160003853194,144.0,148444.0,6.2286
Bolivia,1704.3155278376537,56.0,4061.0,3.285776552834079
Bosnia and Herzegovina,957.1906317823858,51.0,24099.0,5.328092263610316
Botswana,33.62493386741646,0.4,11407.0,1.189593417721519
Brazil,4398.903211837602,215.0,8045.0,4.887581964100222
British Virgin Islands,264.6990702445158,33.0,7015.0,12.4669875
Brunei,322.42573917815736,7.0,58540.0,2.1710425531914894
Bulgaria,496.827312293735,26.0,15586.0,5.233206660874601
Burundi,8.759625269969124,0.08,32.0,0.9132810769230769
CAR,531.2846687075403,4.0,3921.0,0.7528920436817471
Canada,2644.811836848935,219.0,58754.0,8.2803622151404
Cayman Islands,2938.0423199878214,15.0,277363.0,0.5105440414507773
Chile,9652.12698029281,189.0,46373.0,1.9581176292633735
Colombia,1080.0276692821617,35.0,10224.0,3.240657716043764
Costa Rica,367.4207202899305,2.0,6536.0,0.5443351149118119
Croatia,549.9155521622178,26.0,17221.0,4.727998671390611
Cuba,201.291461295669,7.0,12257.0,3.4775444298245612
Cyprus,816.0627664113537,15.0,118401.0,1.8380939086294414
Czechia,948.2400453705873,31.0,47185.0,3.2692143884183573
Denmark,2122.7866487183505,103.0,145166.0,4.852112672848544
Djibouti,4603.07236090518,44.0,41377.0,0.955883300330033
Dominican Republic,2222.9903217613646,58.0,10563.0,2.6090981788010783
Ecuador,2750.1959422444106,227.0,7705.0,8.253957345844503
Egypt,481.3727456979542,18.0,1320.0,3.7393060078425
El Salvador,626.9889280786953,12.0,20151.0,1.9139093949827841
Equatorial Guinea,1188.1089147439034,23.0,11424.0,1.9358494591346154
