Country,total_cases1m_pop,deaths1m_pop,test1m_pop,death_rate(%)
San Marino,20455.081348738506,1238.0,154386.0,6.052285878962536
Belgium,5171.061078984122,833.0,87170.0,16.108879537033946
Andorra,11040.784892374999,660.0,48538.0,5.977835873388042
UK,4337.428814044632,614.0,97610.0,14.155851918811038
Spain,6208.867634160256,580.0,95507.0,9.341477934058817
Italy,3913.7943509458846,567.0,75484.0,14.487220051890759
Sweden,5044.596207465222,483.0,32190.0,9.574601814219239
France,2394.591517654403,450.0,21215.0,18.79234920370856
Netherlands,2838.9533110664606,354.0,26561.0,12.46938435444079
Sint Maarten,1796.9242258056988,350.0,10992.0,19.47772727272727
Ireland,5125.721516986615,345.0,74526.0,6.730759735125519
Isle of Man,3952.4296855701027,282.0,64509.0,7.134851785714286
Switzerland,3594.0775279996255,224.0,52447.0,6.232475461503827
Ecuador,2596.811613621343,217.0,7271.0,8.356401321595525
Canada,2607.477603652589,215.0,54926.0,8.24551665175667
Montserrat,2203.525641025641,200.0,12220.0,9.076363636363636
Brazil,3911.1842322307384,197.0,6947.0,5.036837650770578
Peru,6700.067501778599,191.0,39925.0,2.8507175479843623
Luxembourg,6496.4343960858305,176.0,169585.0,2.709178439576667
Chile,8758.427084779616,162.0,42914.0,1.8496471847270775
Portugal,3575.490626091815,148.0,95679.0,4.139292071414859
Bermuda,2263.6783971230416,144.0,135339.0,6.361327659574467
Mexico,1080.1882474562622,128.0,3055.0,11.849786396160807
Germany,2236.5229099813614,106.0,56035.0,4.739499851619377
Iran,2203.522170932131,104.0,14528.0,4.719716523478684
Denmark,2096.1037404720005,103.0,135757.0,4.913878927424006
Monaco,2523.70755582747,102.0,412970.0,4.0416727272727275
Moldova,2840.333076706096,99.0,15697.0,3.485506710882276
Panama,4456.205389524218,98.0,20190.0,2.1991805007547756
Armenia,5401.317119482035,89.0,27044.0,1.6477462446888278
North Macedonia,1869.5599166353873,86.0,20285.0,4.6000130423620025
Saint Martin,1087.2378980067306,78.0,17732.0,7.174142857142857
Austria,1896.7399573738849,75.0,57861.0,3.954153003864621
Romania,1126.5796031980747,72.0,28720.0,6.391026412657411
Kuwait,8311.376903108692,68.0,77871.0,0.818155653301754
Finland,1279.169144714696,59.0,39222.0,4.612368914914632
Hungary,420.6405763935142,58.0,23820.0,13.788493848425198
Turkey,2078.7018654076787,57.0,30156.0,2.742095966167859
Sao Tome and Principe,2968.9719592017577,55.0,6372.0,1.8524930769230767
Dominican Republic,2081.843414606882,53.0,9226.0,2.545820671628566
Estonia,1487.3806345001444,52.0,71617.0,3.4960788646730863
Slovenia,717.6786079343892,52.0,42552.0,7.24558310991957
Bosnia and Herzegovina,881.5552914647895,50.0,22906.0,5.671793985482198
Bolivia,1451.3234399751864,48.0,3664.0,3.307326174020911
Russia,3564.1983715762854,47.0,99870.0,1.3186695885059283
Norway,1591.5900565941745,45.0,51162.0,2.8273612173913043
Djibouti,4506.562320520002,42.0,41384.0,0.9319742414025624
British Virgin Islands,264.71658780318324,33.0,7015.0,12.466162499999998
Israel,2052.2767377106393,33.0,80415.0,1.6079702797202797
Poland,766.6616810010498,33.0,30889.0,4.304375817624151
Belarus,5634.286635879742,32.0,75594.0,0.5679512255592495
Czechia,930.14195030782,31.0,46209.0,3.3328246285140564
Antigua and Barbuda,265.60967636482513,31.0,4996.0,11.671261538461538
Honduras,821.7450805693162,31.0,2177.0,3.772459456468273
Colombia,921.4074342230361,30.0,9249.0,3.255888642280934
UAE,4248.226322512109,29.0,265679.0,0.6826378304358182
Iceland,5299.985636100876,29.0,185042.0,0.5471712942477875
Lithuania,647.2608347351811,28.0,132415.0,4.325922178105502
Aruba,946.1890129655999,28.0,20685.0,2.959239603960396
Bahamas,262.05184046894556,28.0,5730.0,10.68490873786408
Saudi Arabia,3544.9235575188627,27.0,31250.0,0.7616525310604341
Croatia,548.173918464548,26.0,17039.0,4.743020257663261
Liechtenstein,2150.9325079348423,26.0,23608.0,1.208778048780488
Qatar,27927.865361020442,25.0,102155.0,0.08951632957559681
Bulgaria,459.0924988659365,25.0,14546.0,5.445525697273582
Barbados,334.0780489841939,24.0,22442.0,7.18395
South Africa,1044.8427468388898,23.0,17892.0,2.2012881909344872
Bahrain,10433.343346704129,22.0,241995.0,0.2108624174335234
Malta,1463.2367430977583,20.0,183364.0,1.366832817337461
Guatemala,501.8710649539725,20.0,1756.0,3.985087285682476
Ukraine,697.3575780418819,20.0,10952.0,2.8679691208286893
Oman,4329.785420957244,19.0,26705.0,0.43882082257553107
Argentina,636.729165398901,18.0,5054.0,2.8269476220275345
Greece,298.50500024651603,18.0,23736.0,6.030049742930591
Mauritania,338.6253233581034,17.0,1649.0,5.020297900763358
Cayman Islands,2847.0509424195366,15.0,262279.0,0.5268609625668449
Maldives,3727.6673283754553,15.0,53591.0,0.4023964232488823
Guyana,202.19566690870803,15.0,2451.0,7.418556603773585
Cyprus,811.9848970809143,15.0,111611.0,1.847325
Latvia,581.3309564298543,15.0,66800.0,2.580285779398359
Iraq,471.7443552862826,14.0,8961.0,2.9677090659630605
Montenegro,515.8726367778977,14.0,20995.0,2.713848148148148
Egypt,404.0359931379911,14.0,1321.0,3.4650378277606952
Albania,508.69701637385896,13.0,6216.0,2.5555487021857926
Afghanistan,619.9491997647269,12.0,1409.0,1.9356424695046055
Pakistan,600.0673146771262,12.0,3802.0,1.9997756429137874
El Salvador,555.6235799060113,11.0,18650.0,1.9797575908964753
Azerbaijan,944.2969398464102,11.0,35784.0,1.164887816091954
Sudan,157.09325367486656,10.0,9.0,6.3656457333914815
Gabon,1558.050075360493,10.0,8781.0,0.6418278948888247
Philippines,231.88294835150694,10.0,4525.0,4.31252063642092
Equatorial Guinea,932.831156846345,9.0,5906.0,0.9648048238897396
Indonesia,136.88207965126514,8.0,1813.0,5.844446563335114
Mauritius,265.00606683028366,8.0,108353.0,3.01879881305638
Uruguay,243.8706972801651,7.0,14994.0,2.8703735537190083
India,232.82040792954854,7.0,3993.0,3.0066092840616445
Japan,137.01858949038484,7.0,2626.0,5.10879584006462
Bangladesh,512.6149578333965,7.0,2977.0,1.3655473553846336
Cuba,197.58215241653213,7.0,11400.0,3.5428301161751565
Morocco,235.39054403409403,6.0,10810.0,2.5489554071173557
Haiti,345.8467976789213,6.0,709.0,1.734872215173814
Trinidad and Tobago,83.61496807980727,6.0,2528.0,7.175748717948719
Yemen,21.21662933893918,5.0,4.0,23.56642009493671
Suriname,318.91398702173564,5.0,1987.0,1.5678208556149733
Belize,50.34929825665555,5.0,4471.0,9.930625
Brunei,322.4596582385012,5.0,55186.0,1.550581560283688
Lebanon,211.22662170264184,5.0,15419.0,2.367125866851595
Mali,87.85602653014553,5.0,172.0,5.691129222972973
Slovakia,282.99196321141113,5.0,35945.0,1.7668346278317153
New Zealand,300.6737170388437,4.0,61536.0,1.330345744680851
Kazakhstan,758.7560706347651,4.0,55961.0,0.5271786486866133
Malaysia,261.0989629068808,4.0,19118.0,1.531986169330965
Australia,286.5280266553468,4.0,69951.0,1.3960239934264584
Senegal,298.85131865751634,4.0,3530.0,1.3384582065652522
Kyrgyzstan,338.585785318816,4.0,22622.0,1.181384503851382
Singapore,6873.60027578532,4.0,83566.0,0.05819366619399458
Tunisia,92.61588138868625,4.0,4849.0,4.318913711151737
Niger,40.49865018992749,3.0,259.0,7.407654294478528
Georgia,213.3091900416943,3.0,18522.0,1.4064091656874267
Jamaica,207.39459693164085,3.0,5354.0,1.4465179153094463
Nigeria,73.75281755584649,2.0,430.0,2.7117608062709966
Costa Rica,316.59074969750066,2.0,6149.0,0.6317303970223326
Ghana,358.231265508493,2.0,7909.0,0.5582985608922468
Ivory Coast,177.8318073296394,2.0,1336.0,1.124658198121264
Guinea,337.57449748992843,2.0,1099.0,0.5924618165386354
